Time,chA,chB
0,2942,2942
1,4294967258,16
1,2941,2942
2,4294967207,15
2,2942,2941
3,4294967144,16
3,2942,2942
4,4294967108,16
4,2942,2943
5,4294967100,16
5,2941,2941
6,4294967129,16
6,2942,2942
7,4294967140,16
7,2941,2942
8,4294967122,16
8,2942,2942
9,4294967103,16
9,2942,2941
10,4294967063,16
10,2942,2942
11,4294967034,16
11,2942,2942
12,4294966986,16
12,2940,2942
13,4294966938,16
13,2942,2942
14,4294966940,15
14,2942,2943
15,4294966951,16
15,2942,2942
16,4294966998,16
16,2942,2943
17,4294967027,16
17,2941,2940
18,4294966972,16
18,2942,2942
19,4294966913,16
19,2944,2942
20,4294966924,16
20,2942,2939
21,4294967001,16
21,2942,2942
22,4294966998,16
22,2942,2942
23,4294966949,15
23,2942,2942
24,4294966891,16
24,2942,2940
25,4294966913,16
25,2943,2942
26,4294966974,16
26,2942,2943
27,4294966996,16
27,2942,2942
28,4294966969,16
28,2942,2942
29,4294966903,16
29,2945,2942
30,4294966880,16
30,2940,2942
31,4294966896,16
31,2942,2942
32,4294966951,16
32,2942,2943
33,4294966985,16
33,2941,2942
34,4294966973,16
34,2942,2943
35,4294966935,16
35,2942,2941
36,4294966880,16
36,2942,2943
37,4294966889,16
37,2943,2942
38,4294966949,17
38,2942,2943
39,4294966985,16
39,2942,2942
40,4294966917,16
40,2942,2943
41,4294966872,16
41,2940,2942
42,4294966909,16
42,2940,2942
43,4294966983,16
43,2942,2937
44,4294966972,16
44,2943,2942
45,4294966901,15
45,2942,2942
46,4294966921,16
46,2942,2943
47,4294966959,16
47,2942,2943
48,4294966978,15
48,2942,2942
49,4294966896,16
49,2942,2942
50,4294966859,16
50,2942,2940
51,4294966914,16
51,2942,2942
52,4294966965,16
52,2942,2942
53,4294966901,16
53,2942,2942
54,4294966852,15
54,2942,2942
55,4294966894,16
55,2942,2942
56,4294966966,16
56,2942,2941
57,4294966952,16
57,2941,2942
58,4294966909,15
58,2942,2941
59,4294966864,15
59,2942,2942
60,4294966873,16
60,2941,2941
61,4294966920,16
61,2942,2942
62,4294966948,16
62,2942,2942
63,4294966975,16
63,2941,2939
64,4294966956,16
64,2942,2942
65,4294966940,16
65,2942,2942
66,4294966904,16
66,2940,2942
67,4294966865,16
67,2942,2942
68,4294966855,16
68,2942,2942
69,4294966857,16
69,2942,2942
70,4294966871,16
70,2937,2940
71,4294966888,16
71,2942,2942
72,4294966908,16
72,2941,2942
73,4294966920,16
73,2942,2941
74,4294966949,16
74,2942,2942
75,4294966968,16
75,2942,2942
76,4294966952,16
76,2941,2943
77,4294966929,16
77,2942,2942
78,4294966906,17
78,2942,2942
79,4294966858,16
79,2942,2943
80,4294966876,16
80,2941,2942
81,35,16
81,2942,2942
82,311,16
82,2943,2942
83,387,15
83,2941,2941
84,455,16
84,2940,2943
85,309,16
85,2942,2941
86,251,16
86,2942,2942
87,178,16
87,2943,2942
88,135,16
88,2942,2943
89,57,16
89,2942,2943
90,9,16
90,2942,2942
91,4294967248,16
91,2941,2942
92,4294967228,16
92,2942,2942
93,1281,666
93,2942,2940
94,4294967067,15
94,2942,2942
95,537,3217
95,2941,2942
96,1244,6239
96,2942,2942
97,1623,7883
97,2941,2942
98,1797,8667
98,2941,2942
99,1902,9108
99,2942,2942
100,1935,9348
100,2941,2941
101,1995,9514
101,2942,2942
102,2063,9635
102,2942,2941
103,2094,9704
103,2942,2942
104,2175,9775
104,2942,2942
105,2180,9760
105,2942,2942
106,2149,9737
106,2941,2941
107,2092,9679
107,2941,2942
108,2083,9651
108,2942,2943
109,2040,9637
109,2942,2942
110,2028,9653
110,2942,2941
111,2014,9637
111,2942,2939
112,2029,9640
112,2940,2943
113,1986,9597
113,2941,2944
114,1228,6004
114,2940,2941
